tissue,roc_auc,pr_auc,pos_count_test
culture condition:cd4+ cell,0.9455257593233372,0.10483138493133162,16
thalamus,0.926463406125724,0.06322658581654152,11
corpus striatum,0.9259969325153374,0.0464750581492484,9
pancreatic islet,0.9170773969965345,0.43870635065402386,20
neostriatum,0.91572441548486,0.04166819622275346,8
endocrine pancreas,0.9155179052753176,0.43251960898216235,20
caudate nucleus,0.9142870831736297,0.04088670230553159,8
bone,0.9136625648253555,0.3193823618362046,43
smooth muscle,0.9114854517611026,0.039407824500080964,5
olfactory lobe,0.9009216589861752,0.16065123131536757,13
vascular system,0.9004101957102916,0.19419315088965705,38
gut,0.8994851994851996,0.23917999992379588,27
olfactory bulb,0.8989719957461894,0.16017128264898964,13
globus pallidus,0.8932676518883416,0.02937652063958586,7
nucleus lentiformis,0.8931581828133554,0.028247746668941694,7
b-lymphocyte,0.8923743309606578,0.1141910284312831,28
prefrontal cortex,0.8869849826723142,0.11298000137643886,20
ear,0.8822928635261074,0.018563911289155036,6
embryonic brain,0.8803385917660639,0.19199204913600065,18
cytotoxic t-lymphocyte,0.8787528868360277,0.38620760817379746,19
helper t-lymphocyte,0.8710648148148149,0.3676477159288151,25
b-lymphoblastoid cell,0.8669414909899797,0.21212404023625436,38
b-lymphoblast,0.8666353747882696,0.21198494381167787,38
cardiac muscle,0.8658893087436317,0.3309497853140325,84
bronchial epithelial cell,0.8657519342359767,0.26724548171378526,32
respiratory epithelium,0.8649540618955512,0.26539848936370913,32
epithelium,0.8645551257253384,0.26620224396025105,32
bronchial epithelium,0.864470502901354,0.2658458985865005,32
embryo,0.8636599274235355,0.20010979578308766,45
t-lymphocyte,0.8625925925925926,0.3633219018837421,25
lymphoblast,0.862017863181556,0.20639924096995912,39
nerve,0.8612093261593645,0.17489176193559955,15
vascular bundle,0.8607197886858904,0.32953961011143107,21
exocrine gland,0.859400951015858,0.35194306439629364,69
stem,0.8592523295913127,0.3311694688687832,21
plumule,0.8591239269205371,0.3278431258319202,21
plant form,0.8587754053855748,0.3284076042255247,21
salivary gland,0.8585705185084068,0.35486987960580035,69
hypocotyl,0.8580783623156505,0.32833026423771894,21
seedling,0.8572345733362683,0.3295086795328317,21
plant embryo,0.8572345733362683,0.32848444223068124,21
leaf,0.8571428571428572,0.3322114268236573,21
shoot,0.8565008437889793,0.33052247635123205,21
parenchyma,0.8562623816861106,0.3302241345792544,21
whole plant,0.8561339790153351,0.3293792680380752,21
fibre tract,0.8560498641143802,0.197113328757629,13
plant vessel,0.8560239195832416,0.33069504736786526,21
vascular tissue,0.8559688898671949,0.32714557884191403,21
plant,0.8557120845256438,0.32971793199160276,21
seed,0.8549416685009905,0.3292640888886142,21
cerebral peduncle,0.8548091693252984,0.19117560108280482,13
lymph node,0.8522303015218319,0.34941664152802177,89
midbrain,0.8507326007326008,0.18952230084564703,13
tonsil,0.8457050392972723,0.2153205134263687,42
hypothalamus,0.8412981707144676,0.27057472197883425,113
ganglion,0.8407806882383154,0.04644119193202497,21
limbic system,0.8403847326382539,0.2884823953038221,132
culture condition,0.8398047347503023,0.1360767903831686,45
other source,0.8394764126490409,0.13718419451324126,45
trachea,0.8393913553269733,0.04911877946035122,29
culture condition:antigen-presenting cell,0.8386296872299982,0.13480410577401367,45
peripheral blood,0.8385711292688037,0.24610166876693124,37
cell culture,0.8385173665111456,0.13542707173317128,45
basal ganglion,0.83683805356347,0.045605081246891305,19
spleen,0.8351357778094831,0.3574687849825535,172
dendritic cell,0.835098266949056,0.2525699649830248,34
esophagus,0.8338776321017083,0.2665881781906827,100
adipose tissue,0.8335596191523734,0.3403499943314944,141
small intestine,0.8319660840552205,0.25911140161412416,104
diencephalon,0.8316436150990505,0.2730305152758645,122
subthalamic nucleus,0.8315099168266155,0.03220627212813622,12
lymph,0.8292897548711503,0.20107684322849942,37
erythroid cell,0.829018273165593,0.2211280311960955,19
cecum,0.8287687956538548,0.3255384044224545,118
vermiform appendix,0.8287009719141895,0.3279186658769691,118
ileocecum,0.8285992363046913,0.32533753918044905,118
duodenum,0.8285673375879561,0.23891822981580563,97
cingulate gyrus,0.8281239098583688,0.023522097204978113,11
connective tissue,0.827174652387807,0.37495282756584736,154
cerebral gyrus,0.8263447987162492,0.024133604787080227,11
cingulate cortex,0.8256471080722807,0.024157464884872238,11
urinary bladder,0.8250719979965774,0.27863049437940907,95
culture condition:cd8+ cell,0.8245815028026057,0.12155701797640155,41
epithalamus,0.8244683685977722,0.08127089081401107,29
mononuclear phagocyte,0.8236804249197742,0.19811918229390285,35
pineal gland,0.8234157650695518,0.07953900470729977,29
muscle,0.8233990939422694,0.29326655354405196,104
pons,0.8228953646898431,0.042908840674316544,9
