tissue,roc_auc,pr_auc,pos_count_test
cytotoxic t-lymphocyte,0.9478951420120741,0.300903262853706,19
endocrine pancreas,0.9278975741239893,0.3611534952291388,20
thalamus,0.9278936719458593,0.047017254395192706,11
pancreatic islet,0.9272429726607625,0.371474575408595,20
smooth muscle,0.902373660030628,0.03753525060096271,5
helper t-lymphocyte,0.9023302469135802,0.28100077900645304,25
t-lymphocyte,0.9002932098765432,0.27421314077569403,25
embryonic brain,0.8924586379376683,0.11233295234987178,18
b-lymphocyte,0.8893395133256083,0.14644828093228696,28
culture condition:cd4+ cell,0.8882160707420224,0.04747213695916487,16
epithelium,0.878397001934236,0.24376212588022297,32
bronchial epithelium,0.8776233075435202,0.2434780900280005,32
olfactory lobe,0.8775257001063453,0.08919512157911189,13
respiratory epithelium,0.8773271276595744,0.24168967737293723,32
bronchial epithelial cell,0.8770913926499033,0.24303822131538524,32
bone,0.8766917836685278,0.2339125502663669,43
cardiac muscle,0.8705515763352321,0.3047899641866167,84
olfactory bulb,0.870524636653669,0.10069762714117476,13
acute lymphoblastic leukemia cell,0.8617194570135747,0.22729599387559773,17
lymphoblastic leukemia cell line,0.8616742081447963,0.22533701389507277,17
molt-4 cell,0.8611312217194571,0.22189030013686786,17
acute lymphoblastic leukemia cell line,0.8609276018099548,0.2239414992011027,17
leukemia cell line,0.860475113122172,0.2237152251832199,17
lymphocytic leukemia cell line,0.8603167420814479,0.22490414320093924,17
leukemia cell,0.8592307692307691,0.223136955797692,17
lymphoblastoid cell line,0.858552036199095,0.22568488106340892,17
lymphoblastic leukemia cell,0.8583257918552036,0.22318170700622086,17
lymphocytic leukemia cell,0.8580995475113122,0.22437878556550836,17
t-lymphoblastic leukemia cell line,0.8580090497737557,0.22396349810397287,17
blood cancer cell,0.8578054298642535,0.22328462440392322,17
dendritic cell,0.8574275238550704,0.22914904004845157,34
hematopoietic cell line,0.857239819004525,0.22618482489688016,17
peripheral blood,0.8549654305468258,0.21986675563593208,37
prefrontal cortex,0.8516942626107047,0.08371128710325072,20
basal ganglion,0.8451237794254689,0.044560215438078005,19
vascular system,0.8413705842737903,0.13047490918603186,38
ganglion,0.8355712084525644,0.04466812213163094,21
nerve,0.8331539841147836,0.08880443781358084,15
avian pallium,0.831289592760181,0.03541769962407216,17
b-lymphoblast,0.8310442644027672,0.17841898690692437,38
lymphoblast,0.8308070259195162,0.17582608182226203,39
amygdala,0.8300000000000001,0.03524981451314479,17
b-lymphoblastoid cell,0.8298912267096591,0.17756069898587296,38
phagocyte,0.8281066725683301,0.15318921245132044,35
monocyte,0.8277415071373243,0.15379087239641606,35
mononuclear phagocyte,0.8267456014163993,0.1544255672015194,35
mononuclear cell,0.826712404559035,0.15430041649933154,35
esophagus,0.8251887167262614,0.2623320890595771,100
corpus striatum,0.8229379686434901,0.02519893067478221,9
small intestine,0.8221096452294225,0.2266737528804962,104
gut,0.8212641212641213,0.19574480746292477,27
lymph,0.8206369159857533,0.1307113134068699,37
duodenum,0.8170307641957126,0.18954447330549268,97
caudate nucleus,0.8167401303181295,0.026430157579799142,8
embryo,0.8166666666666667,0.15717793627124696,45
lymph node,0.8153000995590953,0.2835726988960132,89
salivary gland,0.8136418446977453,0.23927923756370229,69
exocrine gland,0.8135565262894455,0.2350600839470708,69
