tissue,roc_auc,pr_auc,pos_count_test
pancreatic islet,0.9790142472083172,0.5010595857987725,20
endocrine pancreas,0.9778975741239893,0.4949194598957197,20
cytotoxic t-lymphocyte,0.95763947976176,0.5039534237530529,19
t-lymphocyte,0.943179012345679,0.4944102129187326,25
helper t-lymphocyte,0.9409104938271604,0.4997832050802355,25
corpus striatum,0.940013633265167,0.32024726840624973,9
pons,0.9377130197682344,0.3267307723770277,9
olfactory lobe,0.9376403166725746,0.438788952413402,13
globus pallidus,0.9368910782703885,0.3066303351357953,7
olfactory bulb,0.9357201937847099,0.4382012115919762,13
culture condition:cd4+ cell,0.9353854286812764,0.1484193188210251,16
caudate nucleus,0.9326849367573784,0.3664041210546522,8
nucleus lentiformis,0.9318007662835249,0.2579956202242995,7
neostriatum,0.9281333844384823,0.3661585884847169,8
gut,0.9277134277134277,0.3501829282800343,27
cranial nerve,0.9256567202244326,0.17229755968746602,3
ophthalmic nerve,0.9169854628921194,0.17170579029733957,3
trigeminal nerve,0.9149451670492222,0.17160812212835333,3
thalamus,0.9115328263447987,0.3303773883328111,11
smooth muscle,0.9104134762633997,0.04637412809208859,5
adrenal cortex,0.9070807770961145,0.6278821424467753,9
b-lymphocyte,0.900182089058103,0.13675875469178417,28
vascular system,0.8988490030815699,0.275664504877329,38
bone,0.8945537666467899,0.33737422336639045,43
midbrain,0.8891941391941393,0.388188507605708,13
cerebral peduncle,0.8891055181377763,0.3858359085504137,13
fibre tract,0.8878352829965734,0.3870731605824373,13
lymphoblastoid cell line,0.8823303167420815,0.4203161305203935,17
hematopoietic cell line,0.8807239819004525,0.42145878784790675,17
molt-4 cell,0.8804072398190046,0.42078050570311404,17
t-lymphoblastic leukemia cell line,0.8803846153846154,0.4208827066644208,17
acute lymphoblastic leukemia cell,0.8803619909502263,0.4205491552604138,17
b-lymphoblast,0.8802065263974205,0.3247667570200885,38
b-lymphoblastoid cell,0.8799106140691005,0.32790368551305127,38
blood cancer cell,0.8797511312217194,0.4206386032689057,17
lymphoblastic leukemia cell,0.8795475113122171,0.42035436576873453,17
leukemia cell,0.8795475113122171,0.4203472911512739,17
lymphocytic leukemia cell line,0.8793891402714932,0.4198987624687119,17
leukemia cell line,0.8789592760180995,0.4217837225819804,17
lymphoblastic leukemia cell line,0.878891402714932,0.42062683562761055,17
lymphocytic leukemia cell,0.8788461538461539,0.42079694403813617,17
cardiac muscle,0.8783815539638674,0.37182422046788566,84
acute lymphoblastic leukemia cell line,0.8776244343891404,0.4248196936714263,17
culture condition,0.8725764644893728,0.18214133810993605,45
other source,0.8723172628304822,0.18188559022161632,45
culture condition:antigen-presenting cell,0.8719889407292206,0.18284439280193304,45
cell culture,0.8715914981855885,0.18231650828760104,45
lymphoblast,0.8680949255037695,0.31772907165844305,39
dendritic cell,0.8680285122178952,0.36424593640116704,34
stem,0.866644654780248,0.42047749139718915,21
salivary gland,0.8663288057697995,0.3964922608870448,69
cranial ganglion,0.8659551176792556,0.4349154806409367,7
leaf,0.8656541198914081,0.41107823204898886,21
plant,0.8655073739819503,0.41795241035880537,21
exocrine gland,0.8654813095806885,0.3940791521572441,69
plant form,0.8651221659696237,0.40995637278941816,21
whole plant,0.8649203903441192,0.41334183472059516,21
vascular bundle,0.8648653606280725,0.419061013150105,21
parenchyma,0.8643334067062881,0.41897906847528826,21
hypocotyl,0.8641499743194657,0.413455363913362,21
lymph,0.8640687198826733,0.21382646074493722,37
plumule,0.8636180203976814,0.4210049731563667,21
plant embryo,0.8634712744882236,0.41226973056326705,21
vascular tissue,0.8634529312495414,0.4128204102790764,21
seedling,0.8632878421014014,0.4197222140803407,21
plant vessel,0.862920977327757,0.40949202520624306,21
seed,0.8628659476117103,0.4190977649970347,21
embryo,0.8627440815621219,0.36141251533475544,45
blood plasma,0.8626184985908275,0.05614593214544556,15
mononuclear cell,0.8623105012725463,0.28139368941508797,35
phagocyte,0.8618900077459334,0.2812893247351611,35
mononuclear phagocyte,0.861679760982627,0.27659810588983813,35
monocyte,0.8614805798384421,0.27663306369247187,35
culture condition:cd8+ cell,0.8614414482654142,0.13735336760131336,41
megakaryoblast,0.8613630540609788,0.05652563509377543,15
subthalamic nucleus,0.8613563659628919,0.2441954028920602,12
shoot,0.8612517426076748,0.4118921440109863,21
bone marrow cell,0.8610043556238791,0.05619685895844791,15
megakaryocyte,0.8609531129900077,0.0564456627862825,15
hypothalamus,0.8604604314512709,0.31330863017961197,113
nerve,0.8604406866512938,0.37495218921097134,15
trigeminal ganglion,0.8593869731800766,0.4346155828062518,7
prefrontal cortex,0.8590489025798999,0.2640247456946139,20
blood platelet,0.8581603894440175,0.055357410789983144,15
peripheral blood,0.8568405614917243,0.33968019594752974,37
limbic system,0.8563715627095908,0.322078183574157,132
diencephalon,0.8555603009297283,0.3213308573025018,122
pineal gland,0.8525422373820818,0.20714982264125748,29
epithalamus,0.852115866332676,0.20771842080616576,29
epithelium,0.8508704061895551,0.3338568686240267,32
bronchial epithelial cell,0.8508099613152804,0.3376608783896817,32
bronchial epithelium,0.8500000000000001,0.340131583166752,32
respiratory epithelium,0.8492625725338491,0.33338031258307466,32
lymph node,0.8480879320153605,0.352853851297225,89
esophagus,0.8467461263408822,0.34677883355354083,100
retina,0.8450075963678763,0.24939133024246973,44
vermiform appendix,0.8444462530775022,0.36866933650476974,118
ileocecum,0.844405558833703,0.3679402690258855,118
cecum,0.8443479086549874,0.3682012842214505,118
gall bladder,0.8410144334815877,0.3426254310525034,93
embryonic brain,0.8409858492582617,0.3848869736444477,18
urinary bladder,0.8401227096289495,0.3669758862009993,95
adipose tissue,0.8345249143551141,0.3607875464121762,141
spleen,0.8336781281209873,0.37190887217819063,172
small intestine,0.8313213596987971,0.3061485627224869,104
bladder,0.8303081861958267,0.3611008903252734,125
hematopoietic stem cell,0.8293961823139852,0.22513525991379132,50
myelencephalon,0.8293824319140775,0.22163991792175788,10
duodenum,0.8289068892161675,0.2739844631506381,97
myeloid progenitor cell,0.8286716010907674,0.224261452339812,50
tonsil,0.828580674988442,0.28318667719600465,42
marrow cell,0.8282820412933386,0.22500602709572148,50
adult stem cell,0.8281417997662641,0.22311159954186793,50
blast cell,0.8278924814959097,0.22494642632735254,50
peripheral ganglion,0.8268862504787438,0.20104348598875163,6
connective tissue,0.8263046332473858,0.37967880682801275,154
thyroid gland,0.8254935584575472,0.2834020824715467,90
medulla oblongata,0.825047947832758,0.22150094275357812,10
colon,0.8240362235218182,0.34997258953307936,123
spinal ganglion,0.8233754627856504,0.20069598632210955,6
neck,0.8202711114642934,0.29597624731805894,121
throat,0.8201320459843188,0.29487874722574614,121
mouth,0.8194890352912066,0.32558799507192876,130
spinal cord,0.81928736266324,0.304571871266036,119
muscle,0.8185780097339986,0.3368198882347972,104
thymus,0.8175216822124038,0.20438263140102292,97
corpus callosum,0.8148484228822657,0.24288022730158804,93
cingulate gyrus,0.8142747505755947,0.20430081964592914,11
trachea,0.8132628044555774,0.06541568321882829,29
liver,0.8129927867777857,0.44857914737126775,331
uterine cervix,0.8123863808513861,0.1706604641669221,41
seminal vesicle,0.8109321058688148,0.021197824049096238,10
cerebral gyrus,0.8101932603083792,0.20357930277664257,11
cingulate cortex,0.8097397613897998,0.2040946628709051,11
adrenal gland,0.8093845035039005,0.2927899846662056,96
basal ganglion,0.8077265913050524,0.20377736269917004,19
bone marrow,0.806430921311527,0.2799115947116537,101
large intestine,0.8059784842473954,0.38491426425490927,184
erythroid cell,0.8056197074672825,0.3188506279083397,19
colorectum,0.8039414285800158,0.3348526589573526,134
ascites,0.8036506091523526,0.12968616017118473,36
temporal lobe,0.8036022323693557,0.279289301864439,135
abdomen,0.8030479142451247,0.12309813500910875,36
ovary,0.8018190263842438,0.37958268105387083,225
frontal lobe,0.799789224310624,0.29492267893680996,139
pharynx,0.7983070746856537,0.09097296958102721,41
heart,0.7975050603441726,0.39890182269519586,244
cardiovascular system,0.7972830579450798,0.41944430447802494,283
thorax,0.7971033956289406,0.21494099452622883,113
amygdala,0.7969909502262443,0.15904138867197137,17
avian pallium,0.7968552036199095,0.1612160880134992,17
large granular lymphocyte,0.7960925562104344,0.2050415732635423,72
natural killer cell,0.7959997817070509,0.20338263775777812,72
ganglion,0.795913126421601,0.19297478255530273,21
null cell,0.7950993232918577,0.2051879059587496,72
kidney,0.7943212767582153,0.4092448369466831,306
occipital lobe,0.7931723530084571,0.2668474170204718,119
leukocyte,0.7906991206122062,0.24622642456470223,109
parietal lobe,0.7905100717831959,0.2851172701941738,127
urinary system,0.7897899881125348,0.4358623877809454,339
urinary tract,0.7897343060853981,0.4360236904273884,339
prostate gland,0.7871834936182631,0.38356433241236443,236
lymphoid cell,0.7852038790903421,0.23284738395162105,98
eye,0.7851291866028708,0.358454141489291,242
lymphocyte,0.7847987944681644,0.2329010886938362,98
sense organ,0.7787372206655103,0.3761303930066466,268
excretory gland,0.7771387850196958,0.4101175488745395,333
hematopoietic cell,0.7770557508459541,0.23807064706571632,122
vertebrate muscular system,0.776229162780737,0.33316124596523194,244
forebrain,0.7761567456223946,0.3719870136828913,259
blood,0.7759907527038997,0.31973079014411376,204
trunk,0.7746621649074051,0.31164246213990804,204
skeletal muscle,0.774132104454685,0.3087287518909645,217
cerebral lobe,0.7737609994072858,0.2910422017465204,180
lymphoid tissue,0.771577126993879,0.3809274801481329,304
stomach,0.7702384907013409,0.32886583342660247,154
uterus,0.7695770382351929,0.33485509667492125,245
skin,0.7693737774915319,0.358611372658405,288
ear,0.7690540022979702,0.007996769541690598,6
integument,0.7685570641731778,0.3658516326733224,296
intestine,0.768128720796438,0.4398757115234373,396
muscular system,0.7679354092838212,0.3612851593117456,284
cerebral cortex,0.766596794342459,0.30329218440694444,195
metencephalon,0.763553772070626,0.23134268904517052,125
cerebellum,0.7602408381742198,0.21350594313499444,123
telencephalon,0.7600172269487986,0.30385385223842987,204
skeletal system,0.7598809648427569,0.35475896770013393,287
cerebral hemisphere,0.7598526770840951,0.30407957213215925,204
brain stem,0.7579572174112519,0.24191703029991574,126
hindbrain,0.7576991454952113,0.23137737810484293,126
pancreas,0.7541628963982235,0.32312169088700854,243
parathyroid gland,0.7520717853026728,0.014756539884133574,14
hematopoietic system,0.751659378460577,0.4012204520391339,398
brain ventricle,0.750909556751217,0.014822289984777174,15
digestive gland,0.7507244754246254,0.532902152480501,616
lateral ventricle,0.7485267742761978,0.014938908184051258,15
bronchus,0.7457085637993515,0.2199862603340673,49
oral mucosa,0.744721689059501,0.014188933647197411,12
bronchoalveolar system,0.7446357047491894,0.21950792237209288,49
mucosa,0.7408829174664109,0.013968039063143303,12
vagina,0.7407387080840788,0.015259402272346498,14
breast,0.738329490135793,0.015218692848377364,15
respiratory system,0.7382138269149507,0.48976927511180185,578
lung,0.7374103943506725,0.44749830928509216,494
alimentary canal,0.7340676447002217,0.5114489817008184,645
viscus,0.7330717910349399,0.6077008290117251,903
gastrointestinal tract,0.7286697949161576,0.471276281304126,555
organism form,0.7281215463318484,0.3797036243727173,395
embryonic structure,0.7279654547733253,0.3796173980684645,395
fetus,0.726354610262805,0.36964515817922505,380
placenta,0.7262487353833847,0.37006410504101184,380
female reproductive system,0.7229389941782776,0.8051159289047323,1613
reproductive system,0.7211796565224461,0.815493657472294,1645
urogenital system,0.7207280210700793,0.8228446795775041,1681
internal female genital organ,0.7190313921667741,0.46215064806071576,557
epididymis,0.7152959262106072,0.021120912149306136,15
oviduct,0.7134367919285195,0.017670471147334967,18
nasopharynx,0.7108371040723982,0.018706001785207642,17
rectum,0.707739289134638,0.08111660292092633,43
brain,0.7053415107941772,0.745515238813524,1459
larynx,0.7050691244239631,0.14153475051582318,13
male reproductive gland,0.704294512567275,0.6304019269233017,1076
male reproductive system,0.7042693147149972,0.6305937994282447,1077
nervous system,0.7037145667425104,0.746777931550942,1465
central nervous system,0.7037068638604475,0.74678139270068,1465
testis,0.7010966326744263,0.5132976098193982,771
gonad,0.7010418291450791,0.5132423863745001,771
internal male genital organ,0.6963818140134151,0.5402072454845641,839
whole body,0.6946548147803191,0.9075960023626567,2134
head,0.6926237010714478,0.7507725177329745,1510
female reproductive gland,0.6921399449489337,0.586083597671224,979
endocrine gland,0.6888071316894644,0.7057292318804427,1333
gland,0.6881482097607665,0.7177088360134773,1379
hippocampus,0.6802041600351243,0.009363041604374716,14
animal,0.3073195613363938,0.9972572811810181,2614
