tissue,roc_auc,pr_auc,pos_count_test
endocrine pancreas,0.9717366191759723,0.45464114271153977,20
pancreatic islet,0.9716018482864844,0.46423656208145875,20
adrenal cortex,0.9655760054533061,0.6195156616766787,9
cytotoxic t-lymphocyte,0.9439042178193752,0.5491105682864736,19
helper t-lymphocyte,0.9287191358024691,0.5820900575760182,25
t-lymphocyte,0.9276234567901235,0.5776526583999025,25
lymphoblastic leukemia cell,0.9270814479638009,0.3667503736324028,17
blood cancer cell,0.9265610859728507,0.36136468124063187,17
acute lymphoblastic leukemia cell,0.926470588235294,0.3607254965367248,17
lymphocytic leukemia cell,0.9263122171945701,0.3697960078678466,17
hematopoietic cell line,0.9260633484162896,0.36683998010618696,17
t-lymphoblastic leukemia cell line,0.925972850678733,0.3698624925005353,17
molt-4 cell,0.9259502262443439,0.3668266124311525,17
lymphoblastoid cell line,0.9253846153846154,0.3606240237691222,17
leukemia cell line,0.925316742081448,0.36409029997019926,17
lymphoblastic leukemia cell line,0.9252262443438914,0.3714559433057338,17
lymphocytic leukemia cell line,0.9249773755656109,0.3680427757403812,17
leukemia cell,0.9247285067873303,0.36939546558757835,17
acute lymphoblastic leukemia cell line,0.9236651583710407,0.36640617621943544,17
olfactory bulb,0.9190003544842255,0.22730479274547197,13
olfactory lobe,0.9155736736381898,0.22656984424077287,13
animal,0.9107370568732466,0.9998916946800157,2614
cranial nerve,0.8970925784238715,0.09520202020202019,3
smooth muscle,0.8941807044410414,0.08673605729680496,5
trigeminal nerve,0.8932670237184391,0.09515593895155938,3
ophthalmic nerve,0.8923743942871716,0.09884791692020607,3
dendritic cell,0.8911206759126414,0.3271892960440258,34
peripheral blood,0.8874083385711292,0.3070125816850196,37
gut,0.8837980837980838,0.1377933545286098,27
hypocotyl,0.8824932130016875,0.4314897976258353,21
plant embryo,0.8824198400469586,0.43174888648606496,21
parenchyma,0.8822180644214542,0.43036439263018966,21
plant,0.8816127375449408,0.43244506052517134,21
whole plant,0.881539364590212,0.4287653866569958,21
vascular tissue,0.8814476483968009,0.43203733953924134,21
plant vessel,0.8814293051581187,0.43173305802777334,21
plant form,0.881209186293932,0.4319563771243999,21
plumule,0.8810257539071098,0.43320263062795733,21
seedling,0.8805855161787365,0.43196752409013667,21
corpus striatum,0.8805811179277436,0.17654728869431502,9
shoot,0.8804754567466432,0.4322608944581718,21
seed,0.8804754567466432,0.4313637945183458,21
stem,0.880126935211681,0.4318988383459264,21
vascular bundle,0.8797233839606721,0.43102261442654133,21
leaf,0.8790263408907476,0.43107709667974364,21
respiratory epithelium,0.8773815280464217,0.3369633000099374,32
bronchial epithelium,0.8770672147001933,0.3375421162162603,32
bronchial epithelial cell,0.8768254352030947,0.3387622095541595,32
epithelium,0.876438588007737,0.3377007773418484,32
prefrontal cortex,0.875144397381594,0.18696917612604994,20
culture condition:cd4+ cell,0.8725730488273742,0.06475473777714752,16
caudate nucleus,0.8685320045994634,0.18685812299255636,8
neostriatum,0.8677654273668072,0.19884065189059427,8
vascular system,0.8593191975673966,0.18081873258187978,38
bone,0.8574113225276017,0.19092808858623175,43
cranial ganglion,0.8562123700054736,0.23207656204675442,7
b-lymphocyte,0.8552391988081444,0.07331837723220963,28
erythroid cell,0.8545642396985536,0.3475789406229255,19
trigeminal ganglion,0.8535303776683087,0.23545462083926733,7
cardiac muscle,0.8527343823435414,0.3434334914015345,84
phagocyte,0.8499834015713179,0.20730877016019986,35
mononuclear cell,0.8499834015713179,0.2106670103836054,35
mononuclear phagocyte,0.8498174172844971,0.20875115338742245,35
epithalamus,0.8495309918456536,0.16067205344415064,29
pineal gland,0.8493844267974204,0.14677812066498874,29
monocyte,0.849020692707757,0.20865612874807274,35
exocrine gland,0.8450560826337224,0.28768377969021214,69
salivary gland,0.8434919118148931,0.2858191725666075,69
thalamus,0.8431242587036908,0.11813783615120908,11
lymph node,0.840887676006258,0.32238296764021024,89
basal ganglion,0.8404440662858069,0.11887020122760629,19
culture condition:antigen-presenting cell,0.8402799377916018,0.1423951786488928,45
cell culture,0.8392863314325211,0.1426612560499938,45
other source,0.8391826507689649,0.13867786509149446,45
culture condition:cd8+ cell,0.8389637933646417,0.1413904441344066,41
culture condition,0.838551926732331,0.1430091646869057,45
b-lymphoblast,0.8378808595742944,0.33062966720713244,38
lymphoblast,0.837590260786537,0.3238765115062993,39
nerve,0.8375864719446581,0.21726193859786935,15
embryonic brain,0.8370313368389551,0.2646288394212818,18
b-lymphoblastoid cell,0.8369625109691639,0.33013191727338465,38
cerebral peduncle,0.8368486352357319,0.25495673370563315,13
fibre tract,0.8343377053054472,0.25439917763831865,13
midbrain,0.8339536807278743,0.25286683595774834,13
amygdala,0.8297963800904977,0.09322249813444204,17
avian pallium,0.8280090497737557,0.0918924408190667,17
retina,0.8262375013249479,0.1517654051925896,44
spinal ganglion,0.8250989403804417,0.14666636705333333,6
small intestine,0.8249410756374544,0.23898365949605915,104
peripheral ganglion,0.8234392952891612,0.15395661813559264,6
duodenum,0.822402225495009,0.21123740481100464,97
pons,0.8187201772324472,0.16503538617600091,9
bone marrow cell,0.8169356904944914,0.07248686841596304,15
embryo,0.8164074650077762,0.15761605699066042,45
megakaryoblast,0.8157571099154497,0.07042502595828785,15
megakaryocyte,0.8151165769920574,0.06971537110977982,15
ear,0.8149495723222265,0.006758257754871833,6
blood platelet,0.8141942095823725,0.07339950960513572,15
blood plasma,0.8141429669485012,0.07144239666211098,15
blast cell,0.8131281651733541,0.15720675314301183,50
adipose tissue,0.8129303727127947,0.2779920719695522,141
adult stem cell,0.8128632645111024,0.15750312321912896,50
hematopoietic stem cell,0.8127541877678224,0.15874604433154874,50
myeloid progenitor cell,0.8125360342812622,0.1588646048465283,50
marrow cell,0.8123568367744449,0.15849744509852418,50
hypothalamus,0.8120635302100709,0.29498256863501554,113
gall bladder,0.8117896153911696,0.21412756654975057,93
ganglion,0.809633868955903,0.11086211885045716,21
bladder,0.8094253611556983,0.24752198634734082,125
esophagus,0.808688915375447,0.21753464233410325,100
ileocecum,0.8085505388596117,0.267374187299802,118
vermiform appendix,0.8084148913802809,0.2668558872249892,118
cecum,0.8083708059494983,0.2681232167512611,118
diencephalon,0.806945037616216,0.29894296047489255,122
adrenal gland,0.8063103265899775,0.22114105089344407,96
tonsil,0.8037263060564032,0.2519512116313478,42
bone marrow,0.8017322797462578,0.23297674630654622,101
urinary bladder,0.801573521432447,0.21677476225871137,95
limbic system,0.8012255350283519,0.2905278832858189,132
connective tissue,0.8010398046938851,0.2808090121631908,154
muscle,0.7972351464691297,0.2849697952932397,104
spleen,0.7949541066248157,0.325695836684253,172
lymph,0.7949507647182066,0.15290607594743866,37
colon,0.7926601078360423,0.23828769783166176,123
mouth,0.7892208716092914,0.25846097489448044,130
pharynx,0.7889997727617029,0.10308576897161538,41
large intestine,0.787237084293858,0.3050030323777488,184
colorectum,0.7855506999837703,0.25712593738491984,134
large granular lymphocyte,0.7793822309539403,0.16979250555015732,72
natural killer cell,0.7786400349268718,0.1693712065464015,72
corpus callosum,0.7780277081948774,0.16878149146521942,93
null cell,0.7779142108709889,0.16985931625146616,72
trachea,0.7765149496349197,0.04146664997554546,29
thyroid gland,0.7763619575253925,0.22879100918346756,90
subthalamic nucleus,0.7752719129878438,0.12341412514246036,12
spinal cord,0.7734490113098882,0.18138087556696014,119
lymphoid cell,0.7684698333481863,0.20548377511297305,98
lymphocyte,0.7684333757321905,0.20314828409969088,98
nucleus lentiformis,0.7680897646414888,0.09691752545274318,7
liver,0.7678407646174139,0.3806318785439666,331
prostate gland,0.7676485453341779,0.32617824749305563,236
leukocyte,0.7672365860439255,0.19253606984007776,109
neck,0.7653369357914812,0.24003531416095816,121
throat,0.7649031839372749,0.2392259840111868,121
ascites,0.76406646863834,0.1355016075908119,36
abdomen,0.7632270007318438,0.13204795930744295,36
globus pallidus,0.7610290093048714,0.10394911295579154,7
hematopoietic cell,0.7590328197378362,0.1905831471718459,122
eye,0.7580252283601565,0.30817411938647515,242
cardiovascular system,0.7563578503062729,0.35547844770153353,283
sense organ,0.7560568803492118,0.3258198172049316,268
urinary tract,0.7556594953395438,0.3659514067274715,339
urinary system,0.7554807948803612,0.36613036811716493,339
kidney,0.7554661847430448,0.338226495664608,306
metencephalon,0.7548250401284109,0.20675450534923343,125
bronchus,0.7544980609066055,0.21119249767351328,49
stomach,0.7533232094742448,0.24522068342217526,154
bronchoalveolar system,0.7521139296840231,0.20243684596744274,49
cerebellum,0.7512599344116938,0.2012173145412466,123
excretory gland,0.7506797515554082,0.34678010461612535,333
brain stem,0.7504189686044362,0.21940538221764988,126
hindbrain,0.7502086877839588,0.2043406663826141,126
uterine cervix,0.749611801242236,0.11582598118872708,41
thymus,0.7457944689903453,0.1634594979331705,97
heart,0.7451279075390493,0.32349433947164624,244
frontal lobe,0.7428130135117087,0.1902810909669938,139
uterus,0.742781429603882,0.2639115134516025,245
vertebrate muscular system,0.7425614667744365,0.299441200455719,244
intestine,0.7425220234765485,0.3849013173810546,396
myelencephalon,0.7408899117759877,0.0927446723081491,10
thorax,0.74083590149566,0.1653675108650348,113
blood,0.7403809430941874,0.27622703101641016,204
skeletal muscle,0.7401785714285714,0.26770247373748995,217
ovary,0.7400808249721293,0.26496204154388925,225
temporal lobe,0.7383501954815411,0.18692348519777807,135
parietal lobe,0.7381842329949719,0.1766552685010794,127
lymphoid tissue,0.7377224270143582,0.33531061809620444,304
rectum,0.7368677833794114,0.09142027799154852,43
