tissue,roc_auc,pr_auc,pos_count_test
vascular system,0.9435011530376931,0.3525036016089736,38
culture condition:cd4+ cell,0.9370194156093811,0.11416113215051495,16
cytotoxic t-lymphocyte,0.9346866010291317,0.4979852219460383,19
gut,0.9262691262691264,0.2956395513427863,27
b-lymphocyte,0.911879931578657,0.11891901590553006,28
bone,0.9090186299488625,0.3948883012508202,43
helper t-lymphocyte,0.9079166666666667,0.49963051650455126,25
t-lymphocyte,0.9072530864197531,0.4985822092610932,25
cardiac muscle,0.8967110334066513,0.3987151196397735,84
lymph,0.8958621412109784,0.3009846267850337,37
pancreatic islet,0.8948402002310359,0.5130743824922387,20
endocrine pancreas,0.8931651906045437,0.5013479127451071,20
b-lymphoblastoid cell,0.8898900022448522,0.33545295597911956,38
b-lymphoblast,0.8886655374380115,0.3360902326556839,38
smooth muscle,0.8875191424196018,0.05754882050615901,5
lymphoblast,0.8857194008474071,0.32584420919871404,39
epithelium,0.876982591876209,0.30492867608355967,32
bronchial epithelial cell,0.8765473887814313,0.30053154899723006,32
bronchial epithelium,0.8760033849129594,0.303965251902134,32
respiratory epithelium,0.8754593810444875,0.30232684109929575,32
adrenal cortex,0.8748295841854123,0.5856150752228578,9
exocrine gland,0.8744738698154847,0.4338455865580293,69
hypothalamus,0.874399191382284,0.3267192881725578,113
salivary gland,0.8739107683207062,0.4358873108970681,69
diencephalon,0.8729820296330365,0.3241612047548459,122
blood cancer cell,0.8717647058823529,0.39996026539288737,17
embryo,0.868627959218939,0.2979466649575302,45
lymphocytic leukemia cell,0.8683484162895927,0.40257854049309577,17
lymphoblastic leukemia cell line,0.8682805429864253,0.40087702527921576,17
lymphocytic leukemia cell line,0.8669683257918552,0.3993381814777635,17
limbic system,0.8668709225047253,0.34309557502067833,132
leukemia cell line,0.8666742081447965,0.3993034681117324,17
molt-4 cell,0.8663574660633484,0.39802938270809507,17
acute lymphoblastic leukemia cell,0.8659276018099549,0.39713764603602003,17
hematopoietic cell line,0.8657692307692307,0.40272586491973833,17
lymphoblastoid cell line,0.8650678733031674,0.40002533598540146,17
esophagus,0.8648390941597139,0.38510189900770087,100
cecum,0.8647391159853771,0.39497495008118344,118
vermiform appendix,0.8646746834326952,0.3944810702316911,118
leukemia cell,0.8643665158371041,0.39678311593888493,17
ileocecum,0.8641931348810711,0.3951907059309631,118
acute lymphoblastic leukemia cell line,0.8637556561085973,0.39802335402108285,17
t-lymphoblastic leukemia cell line,0.8637556561085972,0.3986721731030323,17
ear,0.8635899399974467,0.018171432432938044,6
trachea,0.8632148377125194,0.10786782183227836,29
lymphoblastic leukemia cell,0.8615837104072398,0.3990795518821546,17
muscle,0.8593008662646545,0.4318590008004544,104
lymph node,0.8508346963447591,0.4025567939617543,89
urinary bladder,0.8507241537626781,0.37598737232546553,95
erythroid cell,0.8502491795308132,0.3841418895914532,19
embryonic brain,0.8490872557821384,0.33936637072533393,18
adipose tissue,0.8464349958180089,0.40438636097245406,141
blood platelet,0.8445554701511657,0.05524039345463534,15
corpus callosum,0.8423776903021318,0.30481143833946,93
blood plasma,0.842223930310018,0.0547746004674017,15
megakaryoblast,0.8420189597745323,0.05530865611218499,15
spleen,0.8415846292861557,0.4166531331474857,172
bone marrow cell,0.840148603638227,0.05549529927481127,15
megakaryocyte,0.8400461183704843,0.0544171473788599,15
gall bladder,0.8388374827462808,0.3316213688708522,93
thalamus,0.838693923114491,0.2926726470052443,11
peripheral blood,0.8381102032264822,0.3095320760654204,37
olfactory bulb,0.83767576509512,0.31881177514127707,13
connective tissue,0.8376148820728603,0.42537302587870607,154
abdomen,0.8368956907314133,0.2236034890559057,36
phagocyte,0.8364944118623437,0.23120314685423118,35
ascites,0.8364867191872228,0.22368896098221908,36
other source,0.8363227924658718,0.13427122864270374,45
culture condition,0.8358389493692759,0.13610602014454573,45
cell culture,0.8357093485398306,0.133618502853987,45
culture condition:antigen-presenting cell,0.8354328667703473,0.13619112285512386,45
mononuclear cell,0.8346353878499502,0.23166593487216178,35
mononuclear phagocyte,0.8344915348013722,0.23084741387404267,35
monocyte,0.8334181697465973,0.23022459458037048,35
pineal gland,0.8313702499600276,0.18309745288009543,29
olfactory lobe,0.8307633226988066,0.3207856940306741,13
liver,0.8303861941728583,0.5090174643488617,331
bladder,0.8299357945425361,0.3704583108027445,125
dendritic cell,0.8291202659925759,0.32390576118812275,34
epithalamus,0.8283989767094814,0.18421952456339308,29
uterine cervix,0.8251874715952128,0.20938317103040938,41
culture condition:cd8+ cell,0.8249412967732161,0.10249593327158464,41
whole plant,0.8238865654119891,0.3857934976154625,21
tonsil,0.8228663892741561,0.3533477888786809,42
thymus,0.8220585828833251,0.2724814934399011,97
stem,0.8218871523956269,0.37595011080832097,21
seed,0.8216853767701225,0.3782431426614083,21
prefrontal cortex,0.8216788602233346,0.2582108100210973,20
parenchyma,0.8215019443833004,0.3803254558742241,21
vascular bundle,0.8210250201775625,0.3814603769035525,21
shoot,0.820896617506787,0.3739367277987694,21
leaf,0.8208599310294225,0.37741334431408297,21
plant,0.8208415877907403,0.3761921618939859,21
plant form,0.8207682148360115,0.3815273204163928,21
plumule,0.8204196933010491,0.379892169274677,21
seedling,0.820144544720816,0.3816106692716365,21
vascular tissue,0.8200344852887225,0.37839797090892535,21
colon,0.8198277491997054,0.3846531373698824,123
plant vessel,0.819667620515078,0.3773219068600141,21
hypocotyl,0.8196309340377137,0.38160616983325885,21
