tissue,roc_auc,pr_auc,pos_count_test
adrenal cortex,0.9300443081117928,0.45646341714185584,9
pancreatic islet,0.9195417789757412,0.4029259160219206,20
endocrine pancreas,0.9179822872545245,0.4024127221789766,20
respiratory epithelium,0.9031552224371373,0.342163904873965,32
bronchial epithelium,0.9023815280464217,0.34269195446155176,32
epithelium,0.9022001934235977,0.3422228127097512,32
bronchial epithelial cell,0.9020672147001934,0.3417784067819461,32
cytotoxic t-lymphocyte,0.8998622422106073,0.4466845508149149,19
smooth muscle,0.8942572741194488,0.023284519702152152,5
t-lymphocyte,0.8899537037037036,0.460298783278359,25
helper t-lymphocyte,0.8879012345679013,0.46159367397384576,25
vascular system,0.8823187281892206,0.2299702323467234,38
lymph,0.8809763251623716,0.24653923057834665,37
gut,0.8774488774488775,0.2120462275216743,27
olfactory lobe,0.8748966087675765,0.17487439696828705,13
b-lymphoblastoid cell,0.8742372604640722,0.28249895542051123,38
b-lymphoblast,0.8741352217301687,0.2843277969690006,38
culture condition:cd4+ cell,0.8738465974625144,0.08431535715368116,16
lymphoblast,0.8715064351216408,0.27781642716368177,39
olfactory bulb,0.8713222261609358,0.17433639144879667,13
bone,0.8665455991037387,0.3199703337613188,43
salivary gland,0.8648158259959503,0.29931010498149546,69
exocrine gland,0.8641446545173254,0.29767046512442513,69
cranial ganglion,0.8579638752052545,0.16201471480497107,7
trigeminal ganglion,0.8565407772304323,0.18572466397688464,7
cardiac muscle,0.8550326170736752,0.312933976298647,84
whole plant,0.8545564604886638,0.4105490397602901,21
embryo,0.8543632279246587,0.2163876023227918,45
plant form,0.8540611930442439,0.4102555745959758,21
leaf,0.853657641793235,0.40970886831608544,21
plant,0.8535842688385061,0.40982940373073146,21
vascular tissue,0.8534742094064127,0.4107404673497248,21
seedling,0.8534558661677305,0.4094213368697829,21
seed,0.8532540905422261,0.40940786790496836,21
parenchyma,0.8530156284393573,0.41021076155763814,21
hypocotyl,0.8527588230978062,0.4103407042382007,21
plant embryo,0.852575390710984,0.41009756981080575,21
plant vessel,0.8524836745175728,0.4095443369054253,21
plumule,0.8522818988920683,0.4098160019629847,21
vascular bundle,0.851915034118424,0.41000255924210366,21
stem,0.850099053488884,0.4094177394427778,21
shoot,0.8491452050774084,0.4101333728028782,21
thalamus,0.8467173655201284,0.16011392170010855,11
dendritic cell,0.842545148140557,0.3074115874449333,34
spinal ganglion,0.8424613813353761,0.09508667184877666,6
embryonic brain,0.8420546363986148,0.24303261350060604,18
corpus striatum,0.8415558963871846,0.12604182023173516,9
tonsil,0.8400739713361073,0.3091238720300015,42
peripheral blood,0.8386444584119003,0.28796621010015316,37
peripheral ganglion,0.8365249585088728,0.09484611403873465,6
b-lymphocyte,0.8336092258456106,0.1120428688513534,28
neostriatum,0.8312092755845151,0.12220169777638383,8
esophagus,0.8262455303933255,0.26913398959948426,100
caudate nucleus,0.8262265235722499,0.12244118928045253,8
lymphocytic leukemia cell line,0.8259049773755655,0.3562775910607166,17
blood cancer cell,0.8249321266968326,0.35599866681427045,17
lymphoblastic leukemia cell,0.8247511312217194,0.3555378591067759,17
lymphoblastoid cell line,0.8245927601809955,0.35611520884722175,17
t-lymphoblastic leukemia cell line,0.824524886877828,0.3562126329744284,17
leukemia cell line,0.8244117647058824,0.3557474010693296,17
acute lymphoblastic leukemia cell line,0.8243891402714931,0.35564911741721245,17
lymphoblastic leukemia cell line,0.8242081447963799,0.3565017222175752,17
